Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

06:49:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:51:55 PM  all   27.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   68.00
06:51:56 PM  all   31.31    0.00    4.04    2.02    0.00    2.02    0.00    0.00    0.00   60.61
06:51:57 PM  all   29.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   66.00
06:51:58 PM  all   28.28    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   66.67
06:51:59 PM  all   27.27    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   68.69
06:52:00 PM  all   28.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   67.00
06:52:01 PM  all   24.49    0.00    4.08    2.04    0.00    0.00    0.00    0.00    0.00   69.39
06:52:02 PM  all   28.28    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   68.69
06:52:03 PM  all   25.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   70.00
06:52:04 PM  all   15.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
06:52:05 PM  all   34.69    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   60.20
06:52:06 PM  all   25.74    0.00    2.97    2.97    0.00    0.99    0.00    0.00    0.00   67.33
06:52:07 PM  all    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
06:52:08 PM  all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
06:52:09 PM  all    1.02    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   93.88
06:52:10 PM  all    4.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
06:52:11 PM  all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
06:52:12 PM  all    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
06:52:13 PM  all    2.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
06:52:14 PM  all    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
06:52:15 PM  all    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
06:52:16 PM  all    1.01    0.00    4.04    2.02    0.00    0.00    0.00    0.00    0.00   92.93
06:52:17 PM  all    5.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
06:52:18 PM  all    1.02    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   94.90
06:52:19 PM  all    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
06:52:20 PM  all    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
06:52:21 PM  all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
06:52:22 PM  all    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
06:52:23 PM  all    1.02    0.00    4.08    2.04    0.00    0.00    0.00    0.00    0.00   92.86
06:52:24 PM  all    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
06:52:25 PM  all    3.03    0.00    4.04    3.03    0.00    0.00    0.00    0.00    0.00   89.90
06:52:26 PM  all    1.98    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   94.06
06:52:27 PM  all    2.02    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   93.94
06:52:28 PM  all    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
06:52:29 PM  all    5.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
06:52:30 PM  all    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
06:52:31 PM  all    3.06    0.00    4.08    2.04    0.00    0.00    0.00    0.00    0.00   90.82
06:52:32 PM  all    1.98    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   93.07
06:52:33 PM  all    1.02    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   94.90
06:52:34 PM  all    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
06:52:35 PM  all    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
