Linux 6.14.0-37-generic (sameer-HP-Pavilion-Laptop-15-eg2xxx) 	02/03/2026 	_x86_64_	(16 CPU)

08:10:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:13:46 PM  all   97.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:47 PM  all   95.05    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00    0.00
08:13:48 PM  all   96.97    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:49 PM  all   96.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:50 PM  all   97.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
08:13:51 PM  all   97.03    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00
08:13:52 PM  all   24.49    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   71.43
08:13:53 PM  all    1.00    0.00    5.00    2.00    0.00    0.00    0.00    0.00    0.00   92.00
08:13:54 PM  all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:13:55 PM  all    2.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:13:56 PM  all    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
08:13:57 PM  all    1.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   94.00
08:13:58 PM  all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:13:59 PM  all    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
08:14:00 PM  all    2.02    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   92.93
08:14:01 PM  all    1.01    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:14:02 PM  all    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:14:03 PM  all    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
08:14:04 PM  all    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:14:05 PM  all    1.02    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   94.90
08:14:06 PM  all    1.98    0.99    5.94    0.00    0.00    0.00    0.00    0.00    0.00   91.09
08:14:07 PM  all    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
