event,time,req_id,user_id,val1,val2
ARRIVAL,3701.241,309,526,30.249,23933.222
ARRIVAL,3701.809,310,564,21.528,24534.099
ARRIVAL,3701.934,311,1332,27.298,28676.588
ARRIVAL,3706.402,312,2808,15.697,23171.380
ARRIVAL,3707.706,313,236,174.699,29797.875
ARRIVAL,3709.220,314,2345,5.998,28358.621
ARRIVAL,3710.400,315,1629,46.912,22407.643
ARRIVAL,3713.629,316,2171,23.274,20309.175
ARRIVAL,3714.026,317,1624,5.015,21296.264
ARRIVAL,3715.551,318,2485,29.987,20348.078
ARRIVAL,3716.391,319,1259,31.234,26277.311
ARRIVAL,3718.170,320,1879,48.410,23368.033
ARRIVAL,3718.744,321,1796,32.181,21516.110
ARRIVAL,3721.962,322,2262,88.684,26236.599
ARRIVAL,3723.474,323,1971,70.809,25435.760
ARRIVAL,3723.767,324,2850,78.192,20781.418
ARRIVAL,3724.837,325,2587,104.058,23205.371
COMPLETE,3726.350,160,2448,309.952
ARRIVAL,3727.441,326,140,13.997,22785.106
ARRIVAL,3730.264,327,2553,0.525,21008.131
ARRIVAL,3731.823,328,1863,13.911,24329.654
ARRIVAL,3732.893,329,1017,31.633,22720.415
ARRIVAL,3734.386,330,1162,74.172,25862.609
ARRIVAL,3737.813,331,1266,44.760,27101.818
ARRIVAL,3737.960,332,2584,255.602,25847.404
ARRIVAL,3739.911,333,2483,25.312,24778.485
ARRIVAL,3740.650,334,2061,119.050,25283.507
ARRIVAL,3742.576,335,1590,0.886,26583.793
ARRIVAL,3746.083,336,1850,4.733,24366.474
ARRIVAL,3746.677,337,2624,2.789,23679.223
ARRIVAL,3747.089,338,2908,25.767,25130.118
ARRIVAL,3748.234,339,790,35.438,25961.650
ARRIVAL,3749.107,340,776,12.407,25519.701
ARRIVAL,3749.296,341,856,59.935,28170.529
ARRIVAL,3751.079,342,2697,0.635,22116.318
ARRIVAL,3754.963,343,54,16.308,26785.411
ARRIVAL,3755.053,344,30,58.377,27163.760
ARRIVAL,3755.485,345,2883,221.385,23393.688
ARRIVAL,3756.567,346,2324,20.731,26582.663
ARRIVAL,3759.556,347,536,32.719,22288.761
ARRIVAL,3759.632,348,2094,48.528,22713.982
ARRIVAL,3761.511,349,1530,418.480,29514.871
COMPLETE,3763.600,88,2858,476.889
ARRIVAL,3763.910,350,2187,22.727,24160.325
ARRIVAL,3765.309,351,1078,43.902,28031.276
ARRIVAL,3766.041,352,1179,186.748,26971.537
COMPLETE,3766.289,172,201,320.608
ARRIVAL,3768.145,353,603,18.687,21427.892
ARRIVAL,3771.657,354,2989,10.599,22671.421
ARRIVAL,3772.265,355,2928,82.985,20692.965
ARRIVAL,3772.412,356,1103,54.602,23935.996
COMPLETE,3772.459,43,1723,595.711
ARRIVAL,3774.332,357,313,36.000,29968.557
ARRIVAL,3774.762,358,1287,74.507,22546.671
ARRIVAL,3776.738,359,2947,59.250,26695.415
ARRIVAL,3781.024,360,1040,80.969,23295.892
ARRIVAL,3788.979,361,2355,23.171,21691.403
ARRIVAL,3790.189,362,405,44.691,21495.812
ARRIVAL,3792.399,363,1906,16.559,24808.879
ARRIVAL,3792.448,364,167,14.855,21881.891
ARRIVAL,3792.632,365,2271,150.023,29848.344
ARRIVAL,3794.414,366,400,214.158,20585.324
ARRIVAL,3796.119,367,11,37.811,22138.603
ARRIVAL,3797.265,368,2118,22.128,20158.146
ARRIVAL,3797.371,369,1485,10.664,28634.574
ARRIVAL,3802.125,370,2179,0.040,29222.222
ARRIVAL,3807.059,371,911,19.379,23779.908
ARRIVAL,3808.275,372,1673,51.311,23686.817
ARRIVAL,3808.918,373,1292,51.950,27036.981
COMPLETE,3809.363,184,1550,346.018
ARRIVAL,3809.607,374,1381,9.170,29511.944
ARRIVAL,3815.595,375,2715,5.341,21270.863
ARRIVAL,3815.620,376,1595,51.890,22409.736
COMPLETE,3815.667,188,1478,343.004
ARRIVAL,3815.862,377,1008,11.934,25585.209
