Users,ResponseTime_mean,ResponseTime_ci_lo,ResponseTime_ci_hi,ResponseTime_n,Throughput_mean,Throughput_ci_lo,Throughput_ci_hi,Throughput_n,Goodput_mean,Goodput_ci_lo,Goodput_ci_hi,Goodput_n,Badput_mean,Badput_ci_lo,Badput_ci_hi,Badput_n,Timeouts_mean,Timeouts_ci_lo,Timeouts_ci_hi,Timeouts_n,Util_mean,Util_ci_lo,Util_ci_hi,Util_n
900,10.5467,10.509,10.5845,15,65.4508,65.2786,65.6231,15,64.9008,64.7074,65.0943,15,0.55,0.520248,0.579752,15,88,83.2397,92.7603,15,0.981948,0.98194,0.981956,15
910,10.6425,10.5743,10.7108,15,65.7342,65.4159,66.0525,15,65.1683,64.8397,65.4969,15,0.565833,0.540121,0.591546,15,90.5333,86.4193,94.6474,15,0.981959,0.981948,0.981971,15
920,10.827,10.7891,10.8649,15,65.5004,65.336,65.6648,15,64.8883,64.7096,65.0671,15,0.612083,0.589384,0.634783,15,97.9333,94.3014,101.565,15,0.981947,0.98194,0.981955,15
930,10.962,10.9086,11.0154,15,65.57,65.3255,65.8145,15,64.9475,64.6831,65.2119,15,0.6225,0.588804,0.656196,15,99.6,94.2087,104.991,15,0.981957,0.981946,0.981967,15
940,11.0926,11.0185,11.1667,15,65.7175,65.333,66.102,15,65.0596,64.6517,65.4674,15,0.657917,0.630708,0.685125,15,105.267,100.913,109.62,15,0.981963,0.981953,0.981972,15
950,11.3056,11.2457,11.3656,15,65.4113,65.1746,65.6479,15,64.6975,64.4316,64.9634,15,0.71375,0.678003,0.749497,15,114.2,108.481,119.919,15,0.981947,0.981939,0.981955,15
960,11.4581,11.4171,11.4991,15,65.4908,65.3267,65.655,15,64.7446,64.5656,64.9236,15,0.74625,0.716174,0.776326,15,119.4,114.588,124.212,15,0.981947,0.981939,0.981956,15
970,11.5843,11.5403,11.6283,15,65.6196,65.4202,65.819,15,64.8671,64.6488,65.0854,15,0.7525,0.723083,0.781917,15,120.4,115.693,125.107,15,0.981949,0.981942,0.981957,15
980,11.7062,11.6379,11.7744,15,65.6746,65.3937,65.9555,15,64.9258,64.6209,65.2308,15,0.74875,0.71377,0.78373,15,119.8,114.203,125.397,15,0.981958,0.981948,0.981968,15
990,11.9241,11.8681,11.9802,15,65.4325,65.1722,65.6928,15,64.5983,64.3083,64.8884,15,0.834167,0.792994,0.87534,15,133.467,126.879,140.054,15,0.981957,0.981948,0.981966,15
